DATE_TIME,AMBIENT_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,IS_DAYLIGHT,MODULE_TEMPERATURE,DC_POWER,AC_POWER
2025-06-28 05:00:00,23.9,0.0,5,0,5,0,21.854097366333008,0.45565512776374817,0.12781170010566711
2025-06-28 05:15:00,23.849999999999998,0.0013125,5,15,5,0,22.410076141357422,0.8367596864700317,0.12781170010566711
2025-06-28 05:30:00,23.799999999999997,0.002625,5,30,5,0,22.622854232788086,0.8367596864700317,0.7424517869949341
2025-06-28 05:45:00,23.75,0.0039375,5,45,5,0,22.57059097290039,20.551889419555664,10.318973541259766
2025-06-28 06:00:00,23.7,0.00525,6,0,5,1,22.57059097290039,18.992807388305664,9.284894943237305
2025-06-28 06:15:00,23.875,0.0136875,6,15,5,1,22.91864585876465,192.61619567871094,166.0332489013672
2025-06-28 06:30:00,24.049999999999997,0.022125,6,30,5,1,23.14267349243164,314.79779052734375,296.3174743652344
2025-06-28 06:45:00,24.224999999999998,0.0305625,6,45,5,1,23.4449405670166,444.3470458984375,435.3567199707031
2025-06-28 07:00:00,24.4,0.039,7,0,5,1,24.189210891723633,559.4334106445312,537.955078125
2025-06-28 07:15:00,24.674999999999997,0.0485625,7,15,5,1,24.56023406982422,711.6587524414062,689.1842651367188
2025-06-28 07:30:00,24.95,0.058125,7,30,5,1,25.536039352416992,887.250244140625,851.7005004882812
2025-06-28 07:45:00,25.225,0.0676875,7,45,5,1,27.111244201660156,975.145751953125,963.6115112304688
2025-06-28 08:00:00,25.5,0.07725,8,0,5,1,27.111244201660156,1144.27978515625,1108.283203125
2025-06-28 08:15:00,25.825,0.0894375,8,15,5,1,27.80392074584961,1364.4959716796875,1309.7691650390625
2025-06-28 08:30:00,26.15,0.101625,8,30,5,1,28.367931365966797,1521.4376220703125,1474.792236328125
2025-06-28 08:45:00,26.475,0.1138125,8,45,5,1,29.533483505249023,1753.701904296875,1728.73583984375
2025-06-28 09:00:00,26.8,0.126,9,0,5,1,29.793703079223633,1869.055908203125,1831.7222900390625
2025-06-28 09:15:00,27.225,0.13825,9,15,5,1,30.92803955078125,2054.565673828125,2020.580810546875
2025-06-28 09:30:00,27.65,0.1505,9,30,5,1,33.31039047241211,2204.61767578125,2174.85205078125
2025-06-28 09:45:00,28.075,0.16275,9,45,5,1,33.11273193359375,2234.011474609375,2174.85205078125
2025-06-28 10:00:00,28.5,0.175,10,0,5,1,33.898677825927734,2452.718994140625,2400.527099609375
2025-06-28 10:15:00,28.775,0.1760625,10,15,5,1,35.21274948120117,2669.33642578125,2639.058837890625
